"Congruency","Stimulus","correct","correct_Answer","response_Age","response_Date","response_Gender","response_Handedness","response_Subject","response_time_Answer"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","558"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","421"
"Incongruent",">><>>","0","0","23","28-6-2019","1","2","1","492"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","488"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","459"
"Incongruent","<<><<","0","0","23","28-6-2019","1","2","1","471"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","477"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","480"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","486"
"Incongruent",">><>>","0","0","23","28-6-2019","1","2","1","419"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","487"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","493"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","826"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","477"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","454"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","451"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","416"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","445"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","459"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","457"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","443"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","476"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","456"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","441"
"Incongruent","<<><<","0","0","23","28-6-2019","1","2","1","445"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","650"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","445"
"Incongruent",">><>>","0","0","23","28-6-2019","1","2","1","434"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","564"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","547"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","587"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","462"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","547"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","578"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","463"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","439"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","422"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","580"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","531"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","559"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","458"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","576"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","568"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","580"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","512"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","563"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","622"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","522"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","468"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","499"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","437"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","559"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","444"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","494"
"Incongruent","<<><<","0","0","23","28-6-2019","1","2","1","723"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","565"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","515"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","479"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","540"
"Incongruent","<<><<","0","0","23","28-6-2019","1","2","1","910"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","502"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","460"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","828"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","565"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","803"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","520"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","1001"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","703"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","565"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","648"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","435"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","549"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","515"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","584"
"Incongruent",">><>>","1","1","23","28-6-2019","1","2","1","769"
"Neutral","--<--","1","1","23","28-6-2019","1","2","1","577"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","536"
"Congruent","<<<<<","1","1","23","28-6-2019","1","2","1","521"
"Neutral","-->--","1","1","23","28-6-2019","1","2","1","491"
"Congruent",">>>>>","1","1","23","28-6-2019","1","2","1","484"
"Incongruent","<<><<","1","1","23","28-6-2019","1","2","1","896"
