"Congruency","Stimulus","correct","correct_Answer","response_Age","response_Date","response_Gender","response_Handedness","response_Subject","response_time_Answer"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","440"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","645"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","588"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","733"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","521"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","595"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","581"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","446"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","465"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","498"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","528"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","465"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","458"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","471"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","620"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","640"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","639"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","666"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","569"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","566"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","663"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","509"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","509"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","548"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","572"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","605"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","527"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","628"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","630"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","571"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","561"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","489"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","713"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","592"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","464"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","620"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","625"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","545"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","546"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","527"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","465"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","472"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","565"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","668"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","516"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","496"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","467"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","645"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","504"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","482"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","584"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","553"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","618"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","573"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","566"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","520"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","462"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","479"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","508"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","426"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","462"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","855"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","515"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","440"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","459"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","477"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","616"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","448"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","553"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","569"
"Incongruent",">><>>","1","1","19","28-6-2019","2","2","2","679"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","698"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","572"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","493"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","475"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","481"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","487"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","471"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","514"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","479"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","608"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","537"
"Congruent",">>>>>","1","1","19","28-6-2019","2","2","2","572"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","538"
"Neutral","--<--","1","1","19","28-6-2019","2","2","2","580"
"Incongruent","<<><<","1","1","19","28-6-2019","2","2","2","534"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","531"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","441"
"Congruent","<<<<<","1","1","19","28-6-2019","2","2","2","454"
"Neutral","-->--","1","1","19","28-6-2019","2","2","2","425"
