"Congruency","Stimulus","correct","correct_Answer","response_Age","response_Date","response_Gender","response_Handedness","response_Subject","response_time_Answer"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","795"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","474"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","493"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","468"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","474"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","5954"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","480"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","497"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","445"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","500"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","492"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","451"
"Incongruent",">><>>","0","0","18","28-6-2019","2","1","4","424"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","628"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","521"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","525"
"Incongruent","<<><<","0","0","18","28-6-2019","2","1","4","446"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","540"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","488"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","569"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","780"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","475"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","481"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","454"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","521"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","614"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","744"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","632"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","483"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","690"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","527"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","474"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","590"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","614"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","519"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","476"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","501"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","613"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","596"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","493"
"Neutral","-->--","0","0","18","28-6-2019","2","1","4","589"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","768"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","491"
"Incongruent","<<><<","0","0","18","28-6-2019","2","1","4","471"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","523"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","529"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","499"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","546"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","481"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","574"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","427"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","463"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","473"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","578"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","458"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","452"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","703"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","464"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","492"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","492"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","486"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","634"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","665"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","495"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","492"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","495"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","607"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","479"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","545"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","470"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","470"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","441"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","654"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","492"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","577"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","495"
"Congruent",">>>>>","1","1","18","28-6-2019","2","1","4","432"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","415"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","543"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","590"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","465"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","529"
"Congruent","<<<<<","1","1","18","28-6-2019","2","1","4","543"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","581"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","429"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","484"
"Neutral","-->--","1","1","18","28-6-2019","2","1","4","459"
"Incongruent",">><>>","1","1","18","28-6-2019","2","1","4","553"
"Neutral","--<--","1","1","18","28-6-2019","2","1","4","488"
"Incongruent","<<><<","1","1","18","28-6-2019","2","1","4","671"
