"Congruency","Stimulus","correct","correct_Answer","response_Age","response_Date","response_Gender","response_Handedness","response_Subject","response_time_Answer"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","444"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","476"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","444"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","684"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","482"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","502"
"Incongruent","<<><<","1","1","25","28-6-2019","1","3","5","741"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","599"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","479"
"Incongruent","<<><<","0","0","25","28-6-2019","1","3","5","492"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","479"
"Incongruent","<<><<","1","1","25","28-6-2019","1","3","5","640"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","454"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","395"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","598"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","513"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","441"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","500"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","532"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","719"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","497"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","483"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","471"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","594"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","521"
"Incongruent","<<><<","1","1","25","28-6-2019","1","3","5","641"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","482"
"Incongruent","<<><<","1","1","25","28-6-2019","1","3","5","621"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","473"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","469"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","477"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","502"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","506"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","473"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","504"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","575"
"Congruent",">>>>>","1","1","25","28-6-2019","1","3","5","502"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","464"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","612"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","488"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","443"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","442"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","474"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","395"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","467"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","602"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","585"
"Incongruent",">><>>","1","1","25","28-6-2019","1","3","5","566"
"Neutral","-->--","1","1","25","28-6-2019","1","3","5","471"
"Congruent","<<<<<","1","1","25","28-6-2019","1","3","5","443"
"Neutral","--<--","1","1","25","28-6-2019","1","3","5","446"
